title,description,skills,salary,experience,qualification,location,country,work_type,company,date_posted,role,description_clean,skills_clean,title_clean,extracted_skills,desc_skills,all_skills,skill_count,all_skills_str
Architectural Designer,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,$61K-$108K,0 to 12 Years,MBA,Tunis,Tunisia,Part-Time,Asian Paints,2021-11-08,Architectural Drafter,architectural drafter assist architect engineer creating detailed technical drawing plan building structure use computer aided design cad software produce accurate precise architectural drawing,architectural drafting autocad modeling blueprint reading building code collaboration architect detail oriented,architectural designer,['collaboration'],[],['collaboration'],1,collaboration
Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",$57K-$96K,3 to 11 Years,M.Com,Asmara,Eritrea,Contract,Brewin Dolphin,2022-09-30,Architectural Designer,architectural designer create architectural plan design building structure considering aesthetic functionality safety standard,architectural design software autocad revit building code regulation modeling visualization sustainable design,architect,[],[],[],0,
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$62K-$101K,1 to 14 Years,BBA,Willemstad,Curacao,Contract,Deere,2022-10-03,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
IT Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management",$63K-$88K,5 to 14 Years,BCA,Kuwait City,Kuwait,Contract,Expeditors International of Washington,2021-10-31,Infrastructure Manager,infrastructure manager responsible operation maintenance organization infrastructure including server network data center,network administration system administration virtualization technology vmware hyper storage management security disaster recovery planning capacity planning monitoring troubleshooting cloud infrastructure aws azure vendor management,it manager,"['aws', 'network administration', 'virtualization', 'infrastructure', 'azure', 'cloud', 'security', 'system administration']",['infrastructure'],"['aws', 'network administration', 'virtualization', 'infrastructure', 'azure', 'cloud', 'security', 'system administration']",8,"aws, network administration, virtualization, infrastructure, azure, cloud, security, system administration"
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$60K-$125K,1 to 14 Years,B.Com,Sri Jayawardenepura Kotte,Sri Lanka,Part-Time,Hewlett Packard Enterprise,2022-11-01,Network Security Analyst,protect organization computer network system security threat monitor network traffic respond incident,network security protocol intrusion detection prevention security incident response firewall administration vulnerability assessment security policy procedure log analysis ethical hacking problem solving communication skill attention detail,network administrator,"['communication', 'firewall', 'ethical hacking', 'network security', 'problem solving', 'vulnerability', 'security', 'incident response']",['security'],"['communication', 'incident response', 'firewall', 'ethical hacking', 'network security', 'vulnerability', 'security', 'problem solving']",8,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving"
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$60K-$91K,1 to 14 Years,B.Tech,The City of Hamilton,Bermuda,Full-Time,Deutsche Annington Immobilien SE (Now Vonovia SE),2022-10-24,Quality Control Analyst,quality control analyst responsible inspecting testing product ensure meet quality standard specification use quality control tool process identify defect document finding recommend improvement essential maintaining product quality customer satisfaction,quality control quality assurance testing method compliance standard root cause analysis documentation statistical analysis,chemical analyst,"['documentation', 'compliance']",[],"['documentation', 'compliance']",2,"documentation, compliance"
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$61K-$85K,2 to 14 Years,M.Com,Amsterdam,Netherlands,Contract,Tencent Holdings,2023-02-01,Backend Developer,backend developer tasked building maintaining server side logic database infrastructure web application work core functionality data storage server communication ensure application run smoothly efficiently,proficiency one backend programming language java python node ruby api development database management sql nosql server management deployment security best practice web framework express django,software engineer,"['backend', 'ruby', 'database', 'security', 'sql', 'java', 'nosql', 'express', 'django', 'python', 'node']","['communication', 'infrastructure', 'backend', 'database']","['backend', 'communication', 'ruby', 'infrastructure', 'database', 'sql', 'django', 'java', 'nosql', 'express', 'security', 'python', 'node']",13,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node"
Front-End Developer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration",$55K-$126K,5 to 10 Years,BBA,Ankara,Turkey,Contract,Procter & Gamble,2022-01-23,Web Designer,web designer specializes designing visually appealing responsive website create layout graphic user interface enhance online presence business,web design concept graphic design software adobe creative suite html cs responsive design user interface principle visual communication typography color theory creativity attention detail collaboration,front-end developer,"['communication', 'html', 'user interface', 'graphic design', 'creativity', 'collaboration', 'adobe']",['user interface'],"['communication', 'html', 'graphic design', 'user interface', 'adobe', 'collaboration', 'creativity']",7,"communication, html, graphic design, user interface, adobe, collaboration, creativity"
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$56K-$95K,4 to 13 Years,BCA,Berlin,Germany,Full-Time,Industrial and Commercial Bank of China (ICBC),2023-06-05,Help Desk Support Specialist,help desk support specialist provide technical assistance support end user resolving issue ensuring smooth operation,technical troubleshooting customer service communication ticketing system usage basic problem solving critical thinking skill,it support specialist,"['critical thinking', 'communication', 'problem solving']",[],"['critical thinking', 'communication', 'problem solving']",3,"critical thinking, communication, problem solving"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$62K-$99K,2 to 13 Years,MBA,Charlotte Amalie,Virgin Islands (U.S.),Temporary,Molson Coors Beverage,2023-08-07,User Interface Designer,user interface designer focus visual interactive aspect digital interface design layout button element ensure cohesive visually appealing user interface,design principle best practice graphic design tool adobe photoshop illustrator typography color theory visual design layout responsive design,ux/ui designer,"['illustrator', 'graphic design', 'adobe', 'photoshop']",['user interface'],"['graphic design', 'user interface', 'photoshop', 'adobe', 'illustrator']",5,"graphic design, user interface, photoshop, adobe, illustrator"
