title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Architectural Designer,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,$61K-$108K,0 to 12 Years,Tunis,Tunisia,Part-Time,Asian Paints,2021-11-08,collaboration,1,2,Marketing & Architecture,4,Network & Security
Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",$57K-$96K,3 to 11 Years,Asmara,Eritrea,Contract,Brewin Dolphin,2022-09-30,,0,2,Marketing & Architecture,0,Engineering & Systems
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$62K-$101K,1 to 14 Years,Willemstad,Curacao,Contract,Deere,2022-10-03,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
IT Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management",$63K-$88K,5 to 14 Years,Kuwait City,Kuwait,Contract,Expeditors International of Washington,2021-10-31,"aws, network administration, virtualization, infrastructure, azure, cloud, security, system administration",8,4,Network & Security,4,Network & Security
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$60K-$125K,1 to 14 Years,Sri Jayawardenepura Kotte,Sri Lanka,Part-Time,Hewlett Packard Enterprise,2022-11-01,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$60K-$91K,1 to 14 Years,The City of Hamilton,Bermuda,Full-Time,Deutsche Annington Immobilien SE (Now Vonovia SE),2022-10-24,"documentation, compliance",2,2,Marketing & Architecture,3,UI/UX Design
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$61K-$85K,2 to 14 Years,Amsterdam,Netherlands,Contract,Tencent Holdings,2023-02-01,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Front-End Developer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration",$55K-$126K,5 to 10 Years,Ankara,Turkey,Contract,Procter & Gamble,2022-01-23,"communication, html, graphic design, user interface, adobe, collaboration, creativity",7,0,Design & UI/UX,3,UI/UX Design
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$56K-$95K,4 to 13 Years,Berlin,Germany,Full-Time,Industrial and Commercial Bank of China (ICBC),2023-06-05,"critical thinking, communication, problem solving",3,3,Data & Analytics,2,Application Development
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$62K-$99K,2 to 13 Years,Charlotte Amalie,Virgin Islands (U.S.),Temporary,Molson Coors Beverage,2023-08-07,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
